competition,Phase,Equipe dom,Equipe ext,Score dom,Score ext,Occas dom,Occas ext,Posses dom,Posses ext
Bundesliga,Journée 1,RB Leipzig,Vfb Stuttgart,1,0,1,1,66,34
Bundesliga,Journée 1,Werder Bremen,Hoffenheim,0,0,1,2,23,77
Bundesliga,Journée 1,Wolfsburg,Eintracht Francfort,2,0,2,2,37,63
Bundesliga,Journée 1,Bayern Munich,SC Fribourg,2,0,4,1,52,48
Bundesliga,Journée 1,Borussia Dortmund,Bayer Leverkusen,1,1,1,2,40,60
Bundesliga,Journée 2,Hoffenheim,Eintracht Francfort,2,0,2,0,68,32
Bundesliga,Journée 2,Borussia Dortmund,Wolfsburg,1,0,1,0,77,23
Bundesliga,Journée 2,Bayern Munich,Vfb Stuttgart,4,1,5,1,56,44
Bundesliga,Journée 2,Bayer Leverkusen,Werder Bremen,1,0,1,1,33,67
Bundesliga,Journée 2,RB Leipzig,SC Fribourg,3,1,4,3,39,61
Bundesliga,Journée 3,Borussia Dortmund,Bayern Munich,4,2,5,7,58,42
Bundesliga,Journée 3,Vfb Stuttgart,Bayer Leverkusen,1,1,1,1,42,58
Bundesliga,Journée 3,RB Leipzig,Werder Bremen,2,1,3,2,56,44
Bundesliga,Journée 3,Eintracht Francfort,SC Fribourg,1,0,1,0,41,59
Bundesliga,Journée 3,Hoffenheim,Wolfsburg,1,1,3,1,38,62
Bundesliga,Journée 4,Wolfsburg,Vfb Stuttgart,1,2,4,4,38,62
Bundesliga,Journée 4,Eintracht Francfort,Bayer Leverkusen,3,2,4,3,53,47
Bundesliga,Journée 4,SC Fribourg,Werder Bremen,0,3,3,3,48,52
Bundesliga,Journée 4,Borussia Dortmund,Hoffenheim,2,0,4,2,84,16
Bundesliga,Journée 4,RB Leipzig,Bayern Munich,1,3,1,3,33,67
Bundesliga,Journée 5,Werder Bremen,Wolfsburg,1,2,2,4,37,63
Bundesliga,Journée 5,RB Leipzig,Eintracht Francfort,3,1,3,2,56,44
Bundesliga,Journée 5,Borussia Dortmund,SC Fribourg,4,0,5,0,62,38
Bundesliga,Journée 5,Vfb Stuttgart,Hoffenheim,1,1,2,2,44,56
Bundesliga,Journée 5,Bayern Munich,Bayer Leverkusen,6,0,7,3,62,38
Bundesliga,Journée 6,Bayer Leverkusen,Hoffenheim,5,0,7,0,42,58
Bundesliga,Journée 6,RB Leipzig,Borussia Dortmund,1,2,1,3,47,53
Bundesliga,Journée 6,Werder Bremen,Bayern Munich,0,6,0,7,42,58
Bundesliga,Journée 6,SC Fribourg,Wolfsburg,0,2,1,3,41,59
Bundesliga,Journée 6,Eintracht Francfort,Vfb Stuttgart,3,1,4,2,56,44
Bundesliga,Journée 7,Bayer Leverkusen,Wolfsburg,2,2,4,4,42,58
Bundesliga,Journée 7,Bayern Munich,Eintracht Francfort,5,1,8,2,51,49
Bundesliga,Journée 7,SC Fribourg,Vfb Stuttgart,1,1,1,3,64,36
Bundesliga,Journée 7,Werder Bremen,Borussia Dortmund,1,1,1,1,53,47
Bundesliga,Journée 7,RB Leipzig,Hoffenheim,1,0,1,0,50,50
Bundesliga,Journée 8,Werder Bremen,Eintracht Francfort,0,1,0,2,58,42
Bundesliga,Journée 8,RB Leipzig,Bayer Leverkusen,2,0,3,1,42,58
Bundesliga,Journée 8,Wolfsburg,Bayern Munich,0,4,2,7,30,70
Bundesliga,Journée 8,Vfb Stuttgart,Borussia Dortmund,0,3,0,5,26,74
Bundesliga,Journée 8,SC Fribourg,Hoffenheim,2,1,3,2,71,29
